Accession,Coverage,SeqLength,MW,Description,CountsTot,UniqueTot,Tyrs+Azy,Tyrs-Azy,WT+Azy,WT-Azy
sp|Q62351|TFR1_MOUSE,19.1,763,85730,Transferrin receptor protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Tfrc PE=1 SV=1,26,26,8,0,6,12
sp|Q62371|DDR2_MOUSE,12.2,854,96481,Discoidin domain-containing receptor 2 OS=Mus musculus (Mouse) OX=10090 GN=Ddr2 PE=1 SV=2,19,19,5,3,3,8
sp|Q62376|RU17_MOUSE,4.9,448,51991,U1 small nuclear ribonucleoprotein 70 kDa OS=Mus musculus (Mouse) OX=10090 GN=Snrnp70 PE=1 SV=2,3,3,1,0,0,2
sp|Q62383|SPT6H_MOUSE,6,1726,199083,Transcription elongation factor SPT6 OS=Mus musculus (Mouse) OX=10090 GN=Supt6h PE=1 SV=2,9,9,7,0,1,1
sp|Q62388|ATM_MOUSE,2,3066,349415,Serine-protein kinase ATM OS=Mus musculus (Mouse) OX=10090 GN=Atm PE=1 SV=2,7,7,0,0,2,5
sp|Q62425|NDUA4_MOUSE,26.8,82,9327,Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus (Mouse) OX=10090 GN=Ndufa4 PE=1 SV=2,5,5,2,1,1,1
sp|Q62433|NDRG1_MOUSE,8.9,394,43008,Protein NDRG1 OS=Mus musculus (Mouse) OX=10090 GN=Ndrg1 PE=1 SV=1,2,2,2,0,0,0
sp|Q62448|IF4G2_MOUSE,9.6,906,102104,Eukaryotic translation initiation factor 4 gamma 2 OS=Mus musculus (Mouse) OX=10090 GN=Eif4g2 PE=1 SV=2,11,11,7,0,3,1
sp|Q62465|VAT1_MOUSE,21.4,406,43096,Synaptic vesicle membrane protein VAT-1 homolog OS=Mus musculus (Mouse) OX=10090 GN=Vat1 PE=1 SV=3,6,6,6,0,0,0
sp|Q63844|MK03_MOUSE,10.5,380,43066,Mitogen-activated protein kinase 3 OS=Mus musculus (Mouse) OX=10090 GN=Mapk3 PE=1 SV=5,4,1,4,0,0,0
sp|Q64012|RALY_MOUSE,6.4,312,33188,RNA-binding protein Raly OS=Mus musculus (Mouse) OX=10090 GN=Raly PE=1 SV=3,3,3,0,0,1,2
sp|Q640N1|AEBP1_MOUSE,3.2,1128,128363,Adipocyte enhancer-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Aebp1 PE=1 SV=1,2,2,2,0,0,0
sp|Q64133|AOFA_MOUSE,25.7,526,59601,Amine oxidase [flavin-containing] A OS=Mus musculus (Mouse) OX=10090 GN=Maoa PE=1 SV=3,16,16,12,0,2,2
sp|Q64331|MYO6_MOUSE,6.9,1265,146408,Unconventional myosin-VI OS=Mus musculus (Mouse) OX=10090 GN=Myo6 PE=1 SV=1,11,11,7,0,1,3
sp|Q64337|SQSTM_MOUSE,67.2,442,48162,Sequestosome-1 OS=Mus musculus (Mouse) OX=10090 GN=Sqstm1 PE=1 SV=1,71,71,20,18,15,18
sp|Q64430|ATP7A_MOUSE,8.8,1491,161957,Copper-transporting ATPase 1 OS=Mus musculus (Mouse) OX=10090 GN=Atp7a PE=1 SV=3,23,23,4,2,7,10
sp|Q64433|CH10_MOUSE,23.5,102,10963,"10 kDa heat shock protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Hspe1 PE=1 SV=2",4,4,2,0,2,0
tr|Q9JI95|Q9JI95_MOUSE,23.5,102,10978,CPN10-like protein OS=Mus musculus (Mouse) OX=10090 GN=Hspe1-rs1 PE=3 SV=1,4,4,2,0,2,0
sp|Q64511|TOP2B_MOUSE,5.7,1612,181907,DNA topoisomerase 2-beta OS=Mus musculus (Mouse) OX=10090 GN=Top2b PE=1 SV=2,19,2,10,0,2,7
sp|Q64514|TPP2_MOUSE,18.3,1262,139877,Tripeptidyl-peptidase 2 OS=Mus musculus (Mouse) OX=10090 GN=Tpp2 PE=1 SV=3,24,24,16,0,3,5
sp|Q64521|GPDM_MOUSE,5.9,727,80953,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Gpd2 PE=1 SV=2",3,3,3,0,0,0
sp|Q64674|SPEE_MOUSE,9.9,302,33995,Spermidine synthase OS=Mus musculus (Mouse) OX=10090 GN=Srm PE=1 SV=1,2,2,2,0,0,0
sp|Q64729|TGFR1_MOUSE,8.5,503,56178,TGF-beta receptor type-1 OS=Mus musculus (Mouse) OX=10090 GN=Tgfbr1 PE=1 SV=1,3,3,0,0,0,3
sp|Q64737|PUR2_MOUSE,5.9,1010,107502,Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus (Mouse) OX=10090 GN=Gart PE=1 SV=3,4,4,4,0,0,0
sp|Q65Z40|WAPL_MOUSE,1.8,1200,134068,Wings apart-like protein homolog OS=Mus musculus (Mouse) OX=10090 GN=Wapl PE=1 SV=2,2,2,0,0,2,0
sp|Q68FD5|CLH1_MOUSE,43,1675,191554,Clathrin heavy chain 1 OS=Mus musculus (Mouse) OX=10090 GN=Cltc PE=1 SV=3,189,189,76,12,52,49
sp|Q68FH0|PKP4_MOUSE,3.3,1190,131549,Plakophilin-4 OS=Mus musculus (Mouse) OX=10090 GN=Pkp4 PE=1 SV=1,5,2,1,1,2,1
sp|Q68FL4|SAHH3_MOUSE,9.5,613,66899,Putative adenosylhomocysteinase 3 OS=Mus musculus (Mouse) OX=10090 GN=Ahcyl2 PE=1 SV=1,7,7,5,0,1,1
sp|Q80SW1|SAHH2_MOUSE,10.9,530,58951,S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Ahcyl1 PE=1 SV=1,7,7,5,0,1,1
sp|Q69ZN7|MYOF_MOUSE,17.5,2048,233321,Myoferlin OS=Mus musculus (Mouse) OX=10090 GN=Myof PE=1 SV=2,53,53,21,5,9,18
sp|Q69ZR2|HECD1_MOUSE,6.3,2618,290083,E3 ubiquitin-protein ligase HECTD1 OS=Mus musculus (Mouse) OX=10090 GN=Hectd1 PE=1 SV=2,19,19,3,0,5,11
sp|Q6A009|LTN1_MOUSE,2.7,1767,198919,E3 ubiquitin-protein ligase listerin OS=Mus musculus (Mouse) OX=10090 GN=Ltn1 PE=1 SV=3,4,4,4,0,0,0
sp|Q6A026|PDS5A_MOUSE,14,1332,150326,Sister chromatid cohesion protein PDS5 homolog A OS=Mus musculus (Mouse) OX=10090 GN=Pds5a PE=1 SV=3,22,19,5,0,9,8
sp|Q6A0A9|F120A_MOUSE,16.8,1112,121644,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=FAM120A PE=1 SV=2,37,37,9,1,10,17
sp|Q6A4J8|UBP7_MOUSE,15,1103,128474,Ubiquitin carboxyl-terminal hydrolase 7 OS=Mus musculus (Mouse) OX=10090 GN=Usp7 PE=1 SV=1,22,22,8,0,8,6
sp|Q6DFV1|CNDG2_MOUSE,5.4,1138,130892,Condensin-2 complex subunit G2 OS=Mus musculus (Mouse) OX=10090 GN=Ncapg2 PE=1 SV=2,7,7,2,0,3,2
sp|Q6DFW4|NOP58_MOUSE,5.2,536,60342,Nucleolar protein 58 OS=Mus musculus (Mouse) OX=10090 GN=Nop58 PE=1 SV=1,3,3,3,0,0,0
sp|Q6DID7|WLS_MOUSE,7.4,541,62188,Protein wntless homolog OS=Mus musculus (Mouse) OX=10090 GN=Wls PE=1 SV=1,8,8,4,1,2,1
sp|Q6GQT1|A2MG_MOUSE,1.8,1474,164351,Alpha-2-macroglobulin-P OS=Mus musculus (Mouse) OX=10090 GN=A2m PE=2 SV=2,8,8,1,2,2,3
sp|Q6GQT9|NOMO1_MOUSE,7.7,1214,133418,Nodal modulator 1 OS=Mus musculus (Mouse) OX=10090 GN=Nomo1 PE=1 SV=1,10,10,9,0,0,1
sp|Q6IFZ6|K2C1B_MOUSE,7.7,572,61358,"Keratin, type II cytoskeletal 1b OS=Mus musculus (Mouse) OX=10090 GN=Krt77 PE=1 SV=1",9,2,2,3,3,1
sp|Q6NS46|RRP5_MOUSE,5.2,1862,207776,Protein RRP5 homolog OS=Mus musculus (Mouse) OX=10090 GN=Pdcd11 PE=1 SV=2,11,11,2,0,1,8
sp|Q6NXH9|K2C73_MOUSE,5.6,539,58911,"Keratin, type II cytoskeletal 73 OS=Mus musculus (Mouse) OX=10090 GN=Krt73 PE=1 SV=1",11,0,3,4,2,2
sp|Q6NZC7|S23IP_MOUSE,1.8,998,110779,SEC23-interacting protein OS=Mus musculus (Mouse) OX=10090 GN=Sec23ip PE=1 SV=2,2,2,2,0,0,0
sp|Q6NZJ6|IF4G1_MOUSE,9.1,1600,176075,Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus (Mouse) OX=10090 GN=Eif4g1 PE=1 SV=1,17,17,13,0,1,3
sp|Q6P1B1|XPP1_MOUSE,11.6,623,69590,Xaa-Pro aminopeptidase 1 OS=Mus musculus (Mouse) OX=10090 GN=Xpnpep1 PE=1 SV=1,5,5,5,0,0,0
sp|Q6P2B1|TNPO3_MOUSE,2.5,923,104169,Transportin-3 OS=Mus musculus (Mouse) OX=10090 GN=Tnpo3 PE=1 SV=1,4,4,2,0,1,1
sp|Q6P2K6|P4R3A_MOUSE,4.8,820,93841,Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Mus musculus (Mouse) OX=10090 GN=Ppp4r3a PE=1 SV=1,3,3,2,0,1,0
sp|Q6P4S8|INT1_MOUSE,1.4,2195,245165,Integrator complex subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Ints1 PE=1 SV=2,3,3,0,0,0,3
sp|Q6P4T2|U520_MOUSE,32.3,2136,244544,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Mus musculus (Mouse) OX=10090 GN=Snrnp200 PE=1 SV=1,133,133,31,4,44,54
sp|Q6P542|ABCF1_MOUSE,5.6,837,94944,ATP-binding cassette sub-family F member 1 OS=Mus musculus (Mouse) OX=10090 GN=Abcf1 PE=1 SV=1,5,5,4,0,0,1
sp|Q6P549|SHIP2_MOUSE,1.1,1257,138972,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus (Mouse) OX=10090 GN=Inppl1 PE=1 SV=1",2,1,2,0,0,0
sp|Q6P5B0|RRP12_MOUSE,17.5,1295,143129,RRP12-like protein OS=Mus musculus (Mouse) OX=10090 GN=Rrp12 PE=1 SV=1,29,29,2,0,11,16
sp|Q6P5D3|DHX57_MOUSE,1.9,1388,155761,Putative ATP-dependent RNA helicase DHX57 OS=Mus musculus (Mouse) OX=10090 GN=Dhx57 PE=1 SV=2,2,2,2,0,0,0
sp|Q6P5D8|SMHD1_MOUSE,13.9,2007,225645,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Smchd1 PE=1 SV=2,26,26,6,0,7,13
sp|Q6P5E4|UGGG1_MOUSE,15.7,1551,176431,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus (Mouse) OX=10090 GN=Uggt1 PE=1 SV=4,16,16,15,0,0,1
sp|Q6P5F9|XPO1_MOUSE,17.8,1071,123091,Exportin-1 OS=Mus musculus (Mouse) OX=10090 GN=Xpo1 PE=1 SV=1,25,25,17,0,5,3
sp|Q6P8X1|SNX6_MOUSE,5.7,406,46648,Sorting nexin-6 OS=Mus musculus (Mouse) OX=10090 GN=Snx6 PE=1 SV=2,3,3,2,0,1,0
sp|Q6PAR5|GAPD1_MOUSE,4.3,1458,162400,GTPase-activating protein and VPS9 domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Gapvd1 PE=1 SV=2,5,5,4,0,0,1
sp|Q6PB44|PTN23_MOUSE,9.9,1692,185214,Tyrosine-protein phosphatase non-receptor type 23 OS=Mus musculus (Mouse) OX=10090 GN=Ptpn23 PE=1 SV=2,13,13,11,0,0,2
sp|Q6PB66|LPPRC_MOUSE,14.3,1392,156613,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Lrpprc PE=1 SV=2",25,25,13,0,4,8
sp|Q6PDI5|ECM29_MOUSE,18.9,1840,203701,Proteasome adapter and scaffold protein ECM29 OS=Mus musculus (Mouse) OX=10090 GN=Ecpas PE=1 SV=3,46,46,11,0,16,19
sp|Q6PDM2|SRSF1_MOUSE,13.7,248,27744,Serine/arginine-rich splicing factor 1 OS=Mus musculus (Mouse) OX=10090 GN=Srsf1 PE=1 SV=3,3,3,3,0,0,0
sp|Q6PDQ2|CHD4_MOUSE,11,1915,217749,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus (Mouse) OX=10090 GN=Chd4 PE=1 SV=1,23,23,15,0,2,6
sp|Q6PFX9|TNKS1_MOUSE,3.4,1320,140943,Poly [ADP-ribose] polymerase tankyrase-1 OS=Mus musculus (Mouse) OX=10090 GN=Tnks PE=1 SV=1,5,5,1,1,1,2
sp|Q6PGB6|NAA50_MOUSE,20.1,169,19414,N-alpha-acetyltransferase 50 OS=Mus musculus (Mouse) OX=10090 GN=Naa50 PE=1 SV=1,3,3,3,0,0,0
sp|Q6PGC1|DHX29_MOUSE,4.1,1365,153973,ATP-dependent RNA helicase DHX29 OS=Mus musculus (Mouse) OX=10090 GN=Dhx29 PE=1 SV=1,5,5,4,0,0,1
sp|Q6PGH1|BUD31_MOUSE,20.1,144,17000,Protein BUD31 homolog OS=Mus musculus (Mouse) OX=10090 GN=Bud31 PE=1 SV=2,2,2,2,0,0,0
sp|Q6PHZ2|KCC2D_MOUSE,11.2,499,56369,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus (Mouse) OX=10090 GN=Camk2d PE=1 SV=1,5,5,4,0,0,1
sp|Q6PIP5|NUDC1_MOUSE,4.5,582,66704,NudC domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Nudcd1 PE=1 SV=2,2,2,2,0,0,0
sp|Q6PIX5|RHDF1_MOUSE,3.4,856,97291,Inactive rhomboid protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Rhbdf1 PE=1 SV=2,4,4,0,1,1,2
sp|Q6PNC0|DMXL1_MOUSE,3.5,3013,336005,DmX-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Dmxl1 PE=1 SV=1,11,9,0,0,4,7
sp|Q6R0H7|GNAS1_MOUSE,13.4,1133,121504,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Mus musculus (Mouse) OX=10090 GN=Gnas PE=1 SV=1,45,40,9,9,12,15
sp|Q6URW6|MYH14_MOUSE,3,2000,228583,Myosin-14 OS=Mus musculus (Mouse) OX=10090 GN=Myh14 PE=1 SV=1,10,2,5,0,1,4
sp|Q6VNB8|WDFY3_MOUSE,0.4,3508,392333,WD repeat and FYVE domain-containing protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Wdfy3 PE=1 SV=1,3,3,0,0,1,2
sp|Q6WKZ8|UBR2_MOUSE,7.6,1755,199153,E3 ubiquitin-protein ligase UBR2 OS=Mus musculus (Mouse) OX=10090 GN=Ubr2 PE=1 SV=2,16,16,4,0,6,6
sp|Q6WVG3|KCD12_MOUSE,14.1,327,35892,BTB/POZ domain-containing protein KCTD12 OS=Mus musculus (Mouse) OX=10090 GN=Kctd12 PE=1 SV=1,4,4,4,0,0,0
sp|Q6X893|CTL1_MOUSE,9,653,73066,Choline transporter-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Slc44a1 PE=1 SV=3,8,8,2,0,3,3
sp|Q6ZPJ0|TEX2_MOUSE,2.3,1128,125224,Testis-expressed protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Tex2 PE=1 SV=2,4,4,1,0,0,3
sp|Q6ZPR5|NSMA3_MOUSE,4.3,823,93275,Sphingomyelin phosphodiesterase 4 OS=Mus musculus (Mouse) OX=10090 GN=Smpd4 PE=1 SV=2,6,6,1,0,2,3
sp|Q6ZQ08|CNOT1_MOUSE,5.3,2375,266805,CCR4-NOT transcription complex subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Cnot1 PE=1 SV=2,16,16,9,0,2,5
sp|Q6ZQ38|CAND1_MOUSE,16.2,1230,136330,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Cand1 PE=1 SV=2,29,29,10,0,8,11
sp|Q6ZQ58|LARP1_MOUSE,3.2,1072,121123,La-related protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Larp1 PE=1 SV=3,3,3,3,0,0,0
sp|Q6ZQ73|CAND2_MOUSE,9.1,1235,135631,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Cand2 PE=1 SV=2,13,13,0,0,8,5
sp|Q6ZQ93|UBP34_MOUSE,0.9,3582,408210,Ubiquitin carboxyl-terminal hydrolase 34 OS=Mus musculus (Mouse) OX=10090 GN=Usp34 PE=1 SV=3,4,4,0,0,1,3
sp|Q6ZQA6|IGSF3_MOUSE,2.4,1194,134709,Immunoglobulin superfamily member 3 OS=Mus musculus (Mouse) OX=10090 GN=Igsf3 PE=1 SV=2,4,4,3,0,0,1
sp|Q6ZQH8|NU188_MOUSE,9.7,1759,196694,Nucleoporin NUP188 homolog OS=Mus musculus (Mouse) OX=10090 GN=Nup188 PE=1 SV=2,17,17,2,0,6,9
sp|Q6ZQI3|MLEC_MOUSE,16.5,291,32342,Malectin OS=Mus musculus (Mouse) OX=10090 GN=Mlec PE=1 SV=2,4,4,4,0,0,0
sp|Q6ZWN5|RS9_MOUSE,27.8,194,22591,40S ribosomal protein S9 OS=Mus musculus (Mouse) OX=10090 GN=Rps9 PE=1 SV=3,17,17,7,2,3,5
sp|Q6ZWQ0|SYNE2_MOUSE,5.3,6874,782716,Nesprin-2 OS=Mus musculus (Mouse) OX=10090 GN=Syne2 PE=1 SV=2,40,40,5,0,4,31
sp|Q6ZWV3|RL10_MOUSE,18.7,214,24604,60S ribosomal protein L10 OS=Mus musculus (Mouse) OX=10090 GN=Rpl10 PE=1 SV=3,7,7,2,1,2,2
sp|Q6ZWX6|IF2A_MOUSE,25.1,315,36108,Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Eif2s1 PE=1 SV=3,7,7,7,0,0,0
sp|Q6ZWY3|RS27L_MOUSE,28.6,84,9477,40S ribosomal protein S27-like OS=Mus musculus (Mouse) OX=10090 GN=Rps27l PE=1 SV=3,5,4,3,0,1,1
sp|Q71LX4|TLN2_MOUSE,2.9,2375,253618,Talin-2 OS=Mus musculus (Mouse) OX=10090 GN=Tln2 PE=1 SV=3,13,1,3,0,3,7
sp|Q76MZ3|2AAA_MOUSE,16.1,589,65322,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus (Mouse) OX=10090 GN=Ppp2r1a PE=1 SV=3,6,6,6,0,0,0
sp|Q78PY7|SND1_MOUSE,34,910,102087,Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Snd1 PE=1 SV=1,40,40,20,0,8,12
sp|Q78ZA7|NP1L4_MOUSE,7.2,375,42679,Nucleosome assembly protein 1-like 4 OS=Mus musculus (Mouse) OX=10090 GN=Nap1l4 PE=1 SV=1,3,1,3,0,0,0
sp|Q791T5|MTCH1_MOUSE,8.5,389,41565,Mitochondrial carrier homolog 1 OS=Mus musculus (Mouse) OX=10090 GN=Mtch1 PE=1 SV=1,9,9,2,3,2,2
sp|Q791V5|MTCH2_MOUSE,34,303,33499,Mitochondrial carrier homolog 2 OS=Mus musculus (Mouse) OX=10090 GN=Mtch2 PE=1 SV=1,19,19,9,4,4,2
sp|Q7M6Y3|PICAL_MOUSE,4.8,660,71543,Phosphatidylinositol-binding clathrin assembly protein OS=Mus musculus (Mouse) OX=10090 GN=Picalm PE=1 SV=1,2,1,2,0,0,0
sp|Q7TMB8|CYFP1_MOUSE,8.5,1253,145240,Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Cyfip1 PE=1 SV=1,17,4,6,1,5,5
sp|Q7TMK9|HNRPQ_MOUSE,26.2,623,69632,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus (Mouse) OX=10090 GN=Syncrip PE=1 SV=2,17,9,13,0,1,3
sp|Q7TMM9|TBB2A_MOUSE,44.9,445,49906,Tubulin beta-2A chain OS=Mus musculus (Mouse) OX=10090 GN=Tubb2a PE=1 SV=1,43,1,29,2,6,6
sp|Q7TMY7|IPO8_MOUSE,7,1010,117076,Importin-8 OS=Mus musculus (Mouse) OX=10090 GN=Ipo8 PE=1 SV=3,7,6,4,0,1,2
sp|Q7TMY8|HUWE1_MOUSE,7.7,4377,482629,E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus (Mouse) OX=10090 GN=Huwe1 PE=1 SV=5,33,33,2,2,10,19
sp|Q7TN73|CASD1_MOUSE,5.3,797,91602,N-acetylneuraminate 9-O-acetyltransferase OS=Mus musculus (Mouse) OX=10090 GN=Casd1 PE=2 SV=1,4,4,0,0,1,3
sp|Q7TPD0|INT3_MOUSE,11.7,1041,117936,Integrator complex subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Ints3 PE=1 SV=2,14,14,4,0,6,4
sp|Q7TPH6|MYCB2_MOUSE,0.7,4749,521226,E3 ubiquitin-protein ligase MYCBP2 OS=Mus musculus (Mouse) OX=10090 GN=Mycbp2 PE=1 SV=3,3,3,0,0,0,3
sp|Q7TPR4|ACTN1_MOUSE,24.4,892,103067,Alpha-actinin-1 OS=Mus musculus (Mouse) OX=10090 GN=Actn1 PE=1 SV=1,27,12,17,1,5,4
sp|Q7TPV4|MBB1A_MOUSE,20.2,1344,152035,Myb-binding protein 1A OS=Mus musculus (Mouse) OX=10090 GN=Mybbp1a PE=1 SV=2,49,49,15,1,13,20
sp|Q7TQ95|LNP_MOUSE,5.4,425,47499,Endoplasmic reticulum junction formation protein lunapark OS=Mus musculus (Mouse) OX=10090 GN=Lnpk PE=1 SV=1,5,5,1,1,1,2
sp|Q7TQH0|ATX2L_MOUSE,2.2,1049,110648,Ataxin-2-like protein OS=Mus musculus (Mouse) OX=10090 GN=Atxn2l PE=1 SV=1,2,2,2,0,0,0
sp|Q7TQI3|OTUB1_MOUSE,8.9,271,31270,Ubiquitin thioesterase OTUB1 OS=Mus musculus (Mouse) OX=10090 GN=Otub1 PE=1 SV=2,2,2,2,0,0,0
sp|Q7TSV4|PGM2_MOUSE,3.7,620,68747,Phosphoglucomutase-2 OS=Mus musculus (Mouse) OX=10090 GN=Pgm2 PE=1 SV=1,2,2,2,0,0,0
sp|Q7TT37|ELP1_MOUSE,4.9,1333,149582,Elongator complex protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Elp1 PE=1 SV=2,12,12,4,0,2,6
sp|Q7TT50|MRCKB_MOUSE,2.8,1713,194750,Serine/threonine-protein kinase MRCK beta OS=Mus musculus (Mouse) OX=10090 GN=Cdc42bpb PE=1 SV=2,3,3,3,0,0,0
sp|Q80SY4|MIB1_MOUSE,2.9,1006,110087,E3 ubiquitin-protein ligase MIB1 OS=Mus musculus (Mouse) OX=10090 GN=Mib1 PE=1 SV=1,4,4,2,0,1,1
sp|Q80TR8|DCAF1_MOUSE,2,1506,168929,DDB1- and CUL4-associated factor 1 OS=Mus musculus (Mouse) OX=10090 GN=Dcaf1 PE=1 SV=4,4,4,2,0,0,2
sp|Q80U87|UBP8_MOUSE,3.6,1080,122609,Ubiquitin carboxyl-terminal hydrolase 8 OS=Mus musculus (Mouse) OX=10090 GN=Usp8 PE=1 SV=2,3,3,0,0,0,3
sp|Q80U95|UBE3C_MOUSE,3,1083,123974,Ubiquitin-protein ligase E3C OS=Mus musculus (Mouse) OX=10090 GN=Ube3c PE=1 SV=2,4,4,1,0,2,1
sp|Q80UG5|SEPT9_MOUSE,10.1,583,65574,Septin-9 OS=Mus musculus (Mouse) OX=10090 GN=Septin9 PE=1 SV=1,4,4,4,0,0,0
sp|Q80UM3|NAA15_MOUSE,9.9,865,100960,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Mus musculus (Mouse) OX=10090 GN=Naa15 PE=1 SV=1",19,19,7,0,5,7
sp|Q80UM7|MOGS_MOUSE,10.4,834,91830,Mannosyl-oligosaccharide glucosidase OS=Mus musculus (Mouse) OX=10090 GN=Mogs PE=1 SV=1,11,11,6,0,3,2
sp|Q80VJ3|DNPH1_MOUSE,17.9,173,18977,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Mus musculus (Mouse) OX=10090 GN=Dnph1 PE=1 SV=2,3,3,3,0,0,0
sp|Q80VP0|TCPR1_MOUSE,9.9,1166,130264,Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Tecpr1 PE=1 SV=1,14,14,6,1,3,4
sp|Q80W54|FACE1_MOUSE,6.7,475,54734,CAAX prenyl protease 1 homolog OS=Mus musculus (Mouse) OX=10090 GN=Zmpste24 PE=1 SV=2,2,2,2,0,0,0
sp|Q80W68|KIRR1_MOUSE,3.3,789,87175,Kin of IRRE-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Kirrel1 PE=1 SV=1,2,2,2,0,0,0
sp|Q80WQ2|VAC14_MOUSE,3.7,782,88047,Protein VAC14 homolog OS=Mus musculus (Mouse) OX=10090 GN=Vac14 PE=1 SV=1,2,2,2,0,0,0
sp|Q80X50|UBP2L_MOUSE,3.3,1107,116798,Ubiquitin-associated protein 2-like OS=Mus musculus (Mouse) OX=10090 GN=Ubap2l PE=1 SV=1,5,5,2,0,1,2
sp|Q80X82|SYMPK_MOUSE,3.5,1284,142282,Symplekin OS=Mus musculus (Mouse) OX=10090 GN=Sympk PE=1 SV=1,3,3,3,0,0,0
sp|Q80X90|FLNB_MOUSE,11.7,2602,277821,Filamin-B OS=Mus musculus (Mouse) OX=10090 GN=Flnb PE=1 SV=3,34,27,7,0,5,22
sp|Q80YQ2|MED23_MOUSE,3.1,1367,156086,Mediator of RNA polymerase II transcription subunit 23 OS=Mus musculus (Mouse) OX=10090 GN=Med23 PE=1 SV=2,7,7,1,0,2,4
sp|Q80YV3|TRRAP_MOUSE,14.1,2565,291554,Transformation/transcription domain-associated protein OS=Mus musculus (Mouse) OX=10090 GN=Trrap PE=1 SV=2,39,39,1,0,14,24
sp|Q80ZJ1|RAP2A_MOUSE,10.4,183,20642,Ras-related protein Rap-2a OS=Mus musculus (Mouse) OX=10090 GN=Rap2a PE=1 SV=2,4,3,3,0,1,0
sp|Q811U4|MFN1_MOUSE,2.3,741,83725,Mitofusin-1 OS=Mus musculus (Mouse) OX=10090 GN=Mfn1 PE=1 SV=3,3,3,0,0,1,2
sp|Q8BFR4|GNS_MOUSE,4.8,544,61174,N-acetylglucosamine-6-sulfatase OS=Mus musculus (Mouse) OX=10090 GN=Gns PE=1 SV=1,2,2,2,0,0,0
sp|Q8BFR5|EFTU_MOUSE,5.1,452,49508,"Elongation factor Tu, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Tufm PE=1 SV=1",2,2,2,0,0,0
sp|Q8BFY9|TNPO1_MOUSE,10,898,102356,Transportin-1 OS=Mus musculus (Mouse) OX=10090 GN=Tnpo1 PE=1 SV=2,8,7,6,0,2,0
sp|Q8BFZ3|ACTBL_MOUSE,17.6,376,42004,Beta-actin-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Actbl2 PE=1 SV=1,19,1,14,1,1,3
sp|Q8BG05|ROA3_MOUSE,19.8,379,39652,Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpa3 PE=1 SV=1,20,20,9,0,3,8
